BGC	GCF	Type	ABC_membrane	ABC_tran	MFS_1	ABC2_membrane	MFS_3	ABC2_membrane_3	FtsX	MacB_PCD	OEP	MatE	MFS_2	MFS_4	TonB_dep_Rec	ACR_tran	
16943_2	Lant_30	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
16943_3	PKS_I_0	PKS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
16943_5	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
16943_13	NRPS_516	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
3426_3	NRPS_0	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
3426_4	Lant_30	Lant	2	3	1	0	0	0	0	0	0	0	0	0	0	0	
3426_6	PKS_II_6	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
3426_7	Lant_147	Lant	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
3426_10	Phos_2	Phos	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
3426_11	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
3426_13	PKS_II_0	PKS	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
3426_17	Lant_6	Lant	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_85	PKS_II_22	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_243	PKS_I_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_242	NRPS_24	NRPS	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
genbankScreened_339	PKS_I_331	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_82	PKS_I_0	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_81	PKS_I_90	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_338	PKS_II_0	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_334	PKS_II_45	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_130	PKS_I_90	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_129	NRPS_83	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_63	PKS_I_68	PKS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_46	NRPS_93	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_79	NRPS_0	NRPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
genbankScreened_78	NRPS_421	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_312	PKS_I_331	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_283	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_125	NRPS_553	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
genbankScreened_192	PKS_II_41	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_261	PKS_I_90	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
AARI_1	sidero_0	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AARI_5	NRPS_0	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
genbankScreened_124	PKS_I_0	PKS	4	4	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_291	NRPS_605	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AATC3_8	NRPS_0	NRPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
AATC3_11	PKS_I_213	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_41	NRPS_98	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_75	PKS_I_299	PKS	0	2	0	0	0	2	0	0	0	0	0	0	0	0	
genbankScreened_122	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
