BGC	macb	mfs4	tonb_rec	mfs	mfs5	abc_mem	abc_mem2	mfs2	abc_mem3	abc_cdc	abc_tran	mfs3	
BGC0001769	0	0	0	3	0	0	0	0	0	0	0	1	
BGC0001790	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001690	0	0	0	2	0	2	0	0	0	0	2	1	
BGC0000125	0	0	0	2	0	2	0	0	0	0	2	1	
BGC0000236	0	0	0	3	0	0	0	0	0	0	0	1	
BGC0000944	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0001669	0	0	0	1	0	0	0	1	0	0	1	1	
BGC0000223	0	0	0	3	0	0	0	0	0	0	0	1	
BGC0000950	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000414	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000951	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0001351	0	0	0	2	0	0	0	0	0	0	2	1	
BGC0000454	0	0	1	1	0	0	0	0	0	0	0	1	
BGC0001796	0	0	0	1	0	0	0	1	0	0	0	1	
BGC0000451	0	0	1	1	0	0	0	0	0	0	0	1	
BGC0000371	0	0	0	4	0	0	0	0	0	0	0	1	
BGC0000698	0	0	0	1	0	0	0	0	0	0	2	1	
BGC0000417	0	0	0	2	0	0	0	0	1	0	0	1	
BGC0000715	0	0	0	1	0	0	0	1	0	0	0	1	
BGC0000300	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000873	0	1	0	2	0	0	0	0	0	0	2	1	
BGC0001561	0	0	0	2	0	0	0	0	0	0	1	1	
BGC0000388	0	0	0	1	0	0	0	0	0	0	1	1	
BGC0001774	0	0	0	1	0	0	0	1	0	0	0	1	
BGC0001101	0	0	0	4	0	0	0	0	0	0	6	2	
BGC0000316	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001813	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001368	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001070	0	0	0	5	0	0	0	1	0	0	0	1	
BGC0000369	0	0	0	2	0	1	0	0	0	0	1	1	
BGC0001020	0	0	0	1	0	0	0	0	0	0	1	1	
BGC0001570	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001148	0	0	0	1	0	2	0	0	0	0	2	1	
BGC0001138	0	0	0	1	0	0	0	0	0	0	2	1	
BGC0000378	0	0	0	3	0	0	0	0	0	0	0	1	
BGC0001295	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000716	0	0	0	1	0	0	0	1	0	0	0	1	
BGC0000960	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0000458	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001814	0	0	0	2	0	0	0	0	0	0	2	1	
BGC0000938	0	0	0	2	0	0	0	0	0	0	1	1	
BGC0001614	0	0	0	2	0	1	0	0	0	0	1	0	
BGC0001569	0	0	0	2	0	0	0	0	0	0	2	1	
BGC0000443	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001157	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0001416	0	0	0	1	0	1	0	0	0	0	1	1	
BGC0000468	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000470	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0000469	0	0	0	2	0	0	0	0	0	0	1	1	
BGC0001608	0	0	0	1	0	0	0	0	0	0	0	1	
