BGC Name	BiGSCAPE GCF	Genome Name	Taxonomy	BGC Type	Study source	Peripla_BP_2 (Y/N)	FecCD (Y/N)	Tonb_dep_Rec (Y/N)
SRS414275_3-001	2300	SRS414275_3	Acinetobacter	nrps	Adult	1	1	1
dasN5_269_025G1_concoct_17-c00080_N5_269_...region001	2300	dasN5_269_025G1_concoct_17	Acinetobacter	NRPS	Infant	1	1	0
SRS255231_3-004	2300	SRS255231_3	Acinetobacter	nrps	Adult	1	1	1
dasN5_272_000G1_maxbin2.maxbin.002.fasta-c00002_N5_272_...region001	2300	dasN5_272_000G1_maxbin2.maxbin.002.fasta	Acinetobacter	NRPS	Infant	1	1	1
dasN4_171_017G1_concoct_10-c00001_N4_171_...region001	2300	dasN4_171_017G1_concoct_10	Acinetobacter	NRPS	Infant	1	1	0
dasS2_012_026G1_concoct_5-c00031_1226A07...region001	2300	dasS2_012_026G1_concoct_5	Acinetobacter	NRPS	Infant	1	1	1
SRS311495_5-004	2300	SRS311495_5	Acinetobacter	nrps	Adult	1	1	0
SRS372948_8-006	2300	SRS372948_8	Acinetobacter	nrps	Adult	1	1	1
SRS414210_3-001	2300	SRS414210_3	Acinetobacter	nrps	Adult	1	1	1
dasS2_012_000G1_abawaca.28.fasta-c00010_S2_012_...region001	1846	dasS2_012_000G1_abawaca.28.fasta	Aeromonas	NRPS	Infant	1	1	1
dasN5_278_016G1_maxbin2.maxbin.003.fasta-c00012_N5_278_...region001	1846	dasN5_278_016G1_maxbin2.maxbin.003.fasta	Aeromonas	NRPS	Infant	1	1	1
SRS335368_2-001	1846	SRS335368_2	Aeromonas	nrps	Adult	1	1	1
dasS2_018_009G1_maxbin2.maxbin.002.fasta-c00010_1809A10...region001	1846	dasS2_018_009G1_maxbin2.maxbin.002.fasta	Aeromonas	NRPS	Infant	1	1	1
dasS2_008_012G1_abawaca.27.fasta-c00014_JBBB014...region001	1846	dasS2_008_012G1_abawaca.27.fasta	Aeromonas	NRPS	Infant	1	1	1
SRS1596871_6-001	1846	SRS1596871_6	Aeromonas	nrps	Adult	1	1	1
SRS373032_3-003	1846	SRS373032_3	Aeromonas	nrps	Adult	1	1	1
dasN4_179_013G1_concoct_9-c00001_N4_179_...region001	1846	dasN4_179_013G1_concoct_9	Aeromonas	NRPS	Infant	1	1	1
SRS1719448_2-002	1781	SRS1719448_2	Agathobacter	nrps	Adult	1	1	0
ERS631828_75-001	1805	ERS631828_75	Alistipes	hserlactone	Adult	1	1	0
ERS608604_49-001	1805	ERS608604_49	Alistipes	hserlactone	Adult	1	1	0
ERS473285_2-002	1805	ERS473285_2	Alistipes	hserlactone	Adult	1	1	0
SRS476074_24-001	2457	SRS476074_24	Bacteroides	nrps	Adult	1	1	1
dasN2_093_000G1_maxbin2.maxbin.003.fasta-c00070_N2_093_...region001	1817	dasN2_093_000G1_maxbin2.maxbin.003.fasta	Brenneria_A	NRPS	Infant	1	1	1
SRS372657_3-003	1880	SRS372657_3	Cedecea	nrps	Adult	1	1	1
SRS371548_7-003	1817	SRS371548_7	Cedecea	nrps	Adult	1	1	1
dasN4_207_009G1_maxbin2.maxbin.001.fasta-c00002_N4_207_...region001	2815	dasN4_207_009G1_maxbin2.maxbin.001.fasta	Cedecea	thiopeptide	Infant	1	1	1
dasN4_207_009G1_maxbin2.maxbin.001.fasta-c00002_N4_207_...region002	1817	dasN4_207_009G1_maxbin2.maxbin.001.fasta	Cedecea	NRPS	Infant	1	1	1
SRS1735501_6-001	1880	SRS1735501_6	Cedecea	nrps	Adult	1	1	1
SRS311495_1-001	3038	SRS311495_1	Cedecea	nrps	Adult	1	1	1
dasN4_208_014G1_maxbin2.maxbin.001.fasta-c00011_N4_208_...region001	1817	dasN4_208_014G1_maxbin2.maxbin.001.fasta	Cedecea	NRPS	Infant	1	1	1
ERS473121_3-001	1891	ERS473121_3	Citrobacter	nrps	Adult	1	1	1
SRS373105_2-001	3029	SRS373105_2	Citrobacter	nrps	Adult	1	1	1
SRS1735536_3-001	1953	SRS1735536_3	Citrobacter	nrps	Adult	1	1	0
SRS335380_1-002	3029	SRS335380_1	Citrobacter	nrps	Adult	1	1	1
dasN4_140_016G1_concoct_16-c00011_N4_140_...region001	1891	dasN4_140_016G1_concoct_16	Citrobacter	NRPS	Infant	0	1	1
dasN2_038_039G1_maxbin2.maxbin.001.fasta-c00002_38_004_...region001	2815	dasN2_038_039G1_maxbin2.maxbin.001.fasta	Citrobacter	thiopeptide	Infant	1	1	1
dasN2_061_025G1_abawaca.5.fasta-c00001_61_010_...region001	3029	dasN2_061_025G1_abawaca.5.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS150386_2-002	1891	SRS150386_2	Citrobacter	nrps	Adult	1	1	1
dasN2_064_011G1_abawaca.2.fasta-c00003_64_003_...region001	3029	dasN2_064_011G1_abawaca.2.fasta	Citrobacter	NRPS	Infant	1	1	1
dasS2_009_013G1_maxbin2.maxbin.003.fasta-c00001_JBBB004...region001	1891	dasS2_009_013G1_maxbin2.maxbin.003.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS335582_5-002	2021	SRS335582_5	Citrobacter	nrps	Adult	1	1	1
dasN4_212_010G1_abawaca.20.fasta-c00009_N4_212_...region001	3029	dasN4_212_010G1_abawaca.20.fasta	Citrobacter	NRPS	Infant	1	1	1
dasN5_247_024G1_abawaca.23.fasta-c00001_N5_247_...region001	3029	dasN5_247_024G1_abawaca.23.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS372692_1-001	3029	SRS372692_1	Citrobacter	nrps	Adult	1	1	1
dasS2_017_020G1_maxbin2.maxbin.002.fasta-c00002_1720A10...region001	1891	dasS2_017_020G1_maxbin2.maxbin.002.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS371839_7-003	2521	SRS371839_7	Citrobacter	t1pks-nrps	Adult	1	1	1
SRS371839_7-004	2047	SRS371839_7	Citrobacter	nrps	Adult	1	1	1
dasN4_206_038G1_abawaca.22.fasta-c00001_N4_206_...region001	3029	dasN4_206_038G1_abawaca.22.fasta	Citrobacter	NRPS	Infant	1	1	1
dasN4_150_000G1_concoct_6-c00005_N4_150_...region001	1891	dasN4_150_000G1_concoct_6	Citrobacter	NRPS	Infant	1	1	1
